"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1171";"Nitriansky";"Komárno";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s MŠ - Alapiskola";"Kravany nad Dunajom 143";"Kravany nad Dunajom";"94636";;;;;;;"0";;"6,05204353332519";;;"9,47291259765625";
"1172";"Nitriansky";"Komárno";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Cesta na vàšku 1";"Marcelová";"94632";"5,09936599731445";;"6,50051879882812";"6,44181747436523";"6,55921936035156";;"0";;"6,01640205383301";;;"6,44766845703125";"5,20297546386719"
"1173";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Cesta na vàšku 1";"Marcelová";"94632";;;;;;;"0";;"5,78661003112793";;;"3,77121810913086";"6,45549697875977"
"1174";"Nitriansky";"Komárno";"Obèianske zdruenia";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ EUHŠ";"Cesta na vàšku 1";"Marcelová";"94632";;;;;;;;;;;;;
"1175";"Nitriansky";"Komárno";"Cirkev, cirkevné spoloèenstvo";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Reformovaná CZŠ s VJM";"Martovce 145";"Martovce";"94701";;;;;;;"0";;"4,11637344360352";;;;"5,18225593566895"
"1176";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Moèa 417";"Moèa";"94637";;;;;;;"0";;;;;"8,83500213623047";"4,17357368469238"
"1177";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ G.Édesa s VJM";"Hlavná 359";"Modrany";"94633";;;;;;;"0";;"3,04333782196045";;;"7,73187561035156";"4,56669654846191"
"1178";"Nitriansky";"Komárno";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 21";"Nesvady";"94651";"5,62476577758789";;"6,82425689697266";"7,53746871948242";"6,13171806335449";;"0";;"5,74450950622559";;;"4,98681449890137";"6,52578811645508"
"1179";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Komenského 21";"Nesvady";"94651";;;;;;;"0";;"6,63506011962891";;;"5,46662368774414";"5,31882705688477"
"1180";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ sMŠ J.Hetényiho sVJM";"Nitrianska 378";"Okolièná na Ostrove";"94613";;;;;;;"0";;"5,95127449035644";;;"4,73295364379883";"4,95942115783691"
"1181";"Nitriansky";"Komárno";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Pavilón B. Školská 26";"Pribeta";"94655";"4,23739356994629";;"4,7644229888916";"4,53176345825195";"4,99708251953125";;"0";;"3,33020133972168";;;"6,51182708740234";"4,7787181854248"
"1182";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Školská 8";"Pribeta";"94655";;;;;;;"0";;"5,52124938964844";;;"6,5961311340332";"5,10289192199707"
"1183";"Nitriansky";"Komárno";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Radvaò nad Dunajom 248";"Radvaò nad Dunajom";"94638";;;;;;;"0";;"8,72246322631836";;;"8,72769622802734";
"1184";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Hlavná 27";"Sokolce";"94617";;;;;;;"0";;;;;"6,04986419677734";"5,52800827026367"
"1185";"Nitriansky";"Komárno";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 22";"Svätı Peter";"94657";"6,69878997802734";;"7,31238098144531";"8,1890739440918";"6,43568801879883";;"5,33606300354004";;"6,6980712890625";;;"5,77607078552246";"4,90756950378418"
"1186";"Nitriansky";"Komárno";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ sMŠ J.Kossányiho VJM";"Školská 22";"Svätı Peter";"94657";;;;;;;"0";;"6,09004554748535";;;"5,54662475585937";"4,61538276672363"
"1187";"Nitriansky";"Komárno";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 2";"Šrobárová";"94632";;;;;;;"0";;;;;;
"1188";"Nitriansky";"Komárno";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Školská 31";"Tôò";"94615";;;;;;;"0";;"8,06630172729492";;;"9,89823455810547";
"1189";"Nitriansky";"Komárno";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"ZŠ s VJM - Alapiskola";"Hlavná 92";"Ve¾ké Kosihy";"94621";;;;;;;"0";;"6,95354461669922";;;;
