"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"601";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vajanského 35";"Piešany";"92101";;;;;;;;;;;"60";"55,4";;;"81,3008";"82,8571";"68,2368";;;;;;;;;;;;;"6,59341";;;;
"602";"Trnavskı";"Piešany";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"Prakt.škola Spoj. školy";"Valova 40";"Piešany";"92101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"15,3846";;;;
"603";"Trnavskı";"Piešany";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Valova 40";"Piešany";"92101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"604";"Trnavskı";"Piešany";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Valova 40";"Piešany";"92101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"605";"Trnavskı";"Piešany";"Krajskı úrad, Okresnı úrad";"ZŠ pri zdravotníckom zariadení";"Slovenskı";"Špeciálna základná škola";"ZŠ pri zdravotn. zariad";"Winterova 19";"Piešany";"92101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"606";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Rakovice 15";"Rakovice";"92208";;;;;;;;;;;"49,6";"61,9";;;"87,9518";"90";"62,9188";;;;;;;;;;;;;"8,28729";;;;
"607";"Trnavskı";"Piešany";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Rakovice 25";"Rakovice";"92208";"45,7";;;;"48,3";;;"39,4";;;;;;;;;;;;;;;;;;;;;;"11,2195";;;;
"610";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 19";"Sokolovce";"92231";;;;;;;;;;;"56,7";"61,1";;;;;;;;;;;;;;;;;;"16,4706";;;;
"611";"Trnavskı";"Piešany";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná ulica 87";"Trebatice";"92210";;;;;;;;;;;;;;;"84,9557";"91,6667";"69,0789";;;;;;;;;;;;;"10,6383";;;;
"612";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 5";"Ve¾ké Kosto¾any";"92207";;;;;;;;;;;"60,7";"58,1";;;"66,2651";"89,7436";"57,7609";;;;;;;;;;;;;"7,36842";;;;
"613";"Trnavskı";"Piešany";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 44";"Ve¾ké Orvište";"92201";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"13,0435";;;;
"614";"Trnavskı";"Piešany";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Veselé 92";"Veselé";"92208";;;;;;;;;;;;;;;"84,2857";"94,2857";"75,7256";;;;;;;;;;;;;"9,67742";;;;
"615";"Trnavskı";"Piešany";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium J.B.Magina";"Beòovského 100";"Vrbové";"92203";"58,9";"38,3";;;;"54,8";"55,6";;;;;;;;;;;;;;;;;;;;;;;"9,72222";;;;
"616";"Trnavskı";"Piešany";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Beòovského 45";"Vrbové";"92203";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,52609";;;;
"617";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 2";"Vrbové";"92203";;;;;;;;;;;"70,5";"68,3";;;;;;;;;;;;;;;;;;"8,30946";;;;
"619";"Trnavskı";"Piešany";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 4";"Vrbové";"92203";;;;;;;;;;;"62,2";"62,3";;;;;;;;;;;;;;;;;;"8,06452";;;;
"621";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Záhorácka 919";"Borskı Mikuláš";"90877";;;;;;;;;;;"64,8";"72,1";;;;;;;;;;;;;;;;;;"8,21918";;;;
"622";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hviezdoslavova 215";"Borskı Svätı Jur";"90879";;;;;;;;;;;"56,1";"53,9";;;;;;;;;;;;;;;;;;"10,303";;;;
"623";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Cerová 277";"Cerová";"90633";;;;;;;;;;;"62,7";"62,7";;;;;;;;;;;;;;;;;;"8,90411";;;;
"624";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 285";"Èáry";"90843";;;;;;;;;;;"59";"49,3";;;"98,374";"87,1429";"80,826";;;;;;;;;;;;;"10,3448";;;;
"625";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Èastkov 130";"Èastkov";"90604";;;;;;;;;;;;;;;"95,8333";"97,2973";"73,5549";;;;;;;;;;;;;"17,3913";;;;
"626";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dojè 137";"Dojè";"90602";;;;;;;;;;;"67,8";"71,1";;;;;;;;;;;;;;;;;;"8,48485";;;;
"627";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Športová 259";"Hlboké";"90631";;;;;;;;;;;;;;;"93,75";"85,7143";"78,5584";;;;;;;;;;;;;"11,7647";;;;
"628";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hradište pod Vrátnom 44";"Hradište pod Vrátnom";"90612";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"14,2857";;;;
"629";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 1";"Jablonica";"90632";;;;;;;;;;;"56,4";"57,6";;;"67,4699";"87,5";"57,7965";;;;;;;;;;;;;"8,48485";;;;
"630";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Koválov 216";"Koválov";"90603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"18,75";;;;
"631";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Nová 203";"Kuklov";"90878";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"11,7647";;;;
"632";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 694";"Kúty";"90801";;;;;;;;;;;"57,2";"59,1";;;"71,9101";"92";"55,3235";;;;;;;;;;;;;"7,2165";;;;
"633";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Lakšárska Nová Ves 397";"Lakšárska Nová Ves";"90876";;;;;;;;;;;"68,7";"54";;;;;;;;;;;;;;;;;;"10,3448";;;;
"634";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Vıhony 11";"Osuské";"90612";;;;;;;;;;;;;;;"91,43";"100";"64,53";;;;;;;;;;;;;"11,5385";;;;
"635";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Plaveckı Peter 89";"Plaveckı Peter";"90635";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"11,1111";;;;
"636";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Prietr 138";"Prietr";"90611";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"637";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Prievaly 187";"Prievaly";"90634";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"9,375";;;;
"638";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sekule 119";"Sekule";"90880";;;;;;;;;;;"53,2";"52,1";;;;;;;;;;;;;;;;;;"6,08974";;;;
"639";"Trnavskı";"Senica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sekule 119";"Sekule";"90880";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4,91803";;;;
"640";"Trnavskı";"Senica";"Krajskı úrad, Okresnı úrad";"Praktická škola internátna";"Slovenskı";"Špeciálna stredná škola";"Prakt. škola Spoj.školy";"Brezová 1";"Senica";"90501";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"28,5714";;;;
"641";"Trnavskı";"Senica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Brezová 1";"Senica";"90501";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"642";"Trnavskı";"Senica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Brezová 1";"Senica";"90501";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"643";"Trnavskı";"Senica";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Dlhá 10";"Senica";"90580";"54,1";;;;"56,7";"71";;;;;;;;;;;;;;;;;;;;;;;;"9,52381";;;;
"644";"Trnavskı";"Senica";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium L.Novomeského";"Dlhá 12";"Senica";"90540";"65,3";"55,5";;;;"59,3";;;"48";;"85,1";"85,6";;;"55,9055";"80,8219";"76,035";;;;;;;;;;;;;"8,86918";;;;
"645";"Trnavskı";"Senica";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. SOŠ podnikania";"Hollého 1380";"Senica";"90501";"42,9";;;;"47,7";"69,2";;"57";;;;;;;;;;;;;;;;;;;;;;"9,05797";;;;
"647";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 959";"Senica";"90501";;;;;;;;;;;"67,9";"74,1";;;"77,2358";"81,9444";"72,4614";;;;;;;;;;;;;"5,80431";;;;
"648";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sadová 620";"Senica";"90501";;;;;;;;;;;"62,1";"64,2";;;"50";"84";"51,9847";;;;;;;;;;;;;"7,58853";;;;
"649";"Trnavskı";"Senica";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"V. P. Tótha 31";"Senica";"90501";"34,7";;;;"46,1";;;"29,7";;;;;;;"50,3876";"69,3333";"51,8659";;;;;;;;;;;;;"12,4694";;;;
"650";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"V. P. Tótha 32";"Senica";"90501";;;;;;;;;;;"66,4";"70,4";;;"64,44";"90";"56,02";;;;;;;;;;;;;"5,87002";;;;
"651";"Trnavskı";"Senica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Vajanského 4";"Senica";"90501";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,15956";;;;
"652";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Smolinské 407";"Smolinské";"90842";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"11,1111";;;;
"653";"Trnavskı";"Senica";"Krajskı úrad, Okresnı úrad";"ZŠ pri zdravotníckom zariadení";"Slovenskı";"Špeciálna základná škola";"ZŠ pri zdravot.zariad.";"Smrdáky 1";"Smrdáky";"90603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"654";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 33";"Smrdáky";"90603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8";;;;
"655";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sobotište 317";"Sobotište";"90605";;;;;;;;;;;"65,8";"72,5";;;;;;;;;;;;;;;;;;"9,70149";;;;
"656";"Trnavskı";"Senica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Šajdíkove Humence 102";"Šajdíkove Humence";"90607";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"9,09091";;;;
"658";"Trnavskı";"Senica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jána Hollého 654";"Šaštín-Stráe";"90841";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,61664";;;;
"660";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Štúrova 1115";"Šaštín-Stráe";"90841";;;;;;;;;;;"60,3";"63,8";;;"93,4959";"77,4648";"73,3042";;;;;;;;;;;;;"7,60095";;;;
"661";"Trnavskı";"Senica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Štúrova 573";"Šaštín-Stráe";"90841";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"662";"Trnavskı";"Senica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Štefanov 329";"Štefanov";"90645";;;;;;;;;;;"63";"65,7";;;;;;;;;;;;;;;;;;"9,15033";;;;
"663";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 281";"Brodské";"90885";;;;;;;;;;;"58,1";"64,4";;;;;;;;;;;;;;;;;;"6,77083";;;;
"665";"Trnavskı";"Skalica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Èsl. armády 1207";"Gbely";"90845";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,4";;;;
"666";"Trnavskı";"Skalica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Èsl. armády 1207";"Gbely";"90845";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"667";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Pionierska 697";"Gbely";"90845";;;;;;;;;;;"66,1";"65,5";;;"82,1138";"91,7808";"69,4973";;;;;;;;;;;;;"6,7623";;;;
"668";"Trnavskı";"Skalica";"Samosprávny kraj";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektrotechnická";"Uèòovská 6";"Gbely";"90845";"39";;;;"34,1";;;"33,3";;;;;;;;;;;;;;;;;;;;;;"11,039";;;;
"669";"Trnavskı";"Skalica";"Samosprávny kraj";"SOŠ po¾noh. a slu. na vidieku";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Bernolákova 10";"Holíè";"90851";"40,4";;;;"38,6";;;"26,9";;;;;;;"40,9449";"49,3151";"42,79";;;;;;;;;;;;;"11,5607";;;;
"670";"Trnavskı";"Skalica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Bernolákova 3";"Holíè";"90851";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3,11688";;;;
"671";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bernolákova 5";"Holíè";"90851";;;;;;;;;;;"60,2";"61,3";;;;;;;;;;;;;;;;;;"6,53465";;;;
"672";"Trnavskı";"Skalica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Kátovská 37";"Holíè";"90851";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"673";"Trnavskı";"Skalica";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Nám. sv. Martina 5";"Holíè";"90851";"43";;;;"41,9";"77,2";;"26,8";;;;;;;;;;;;;;;;;;;;;;"10,2857";;;;
"674";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 2";"Holíè";"90851";;;;;;;;;;;"60,3";"66,9";;;;;;;;;;;;;;;;;;"6,78392";;;;
"675";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sasinkova 530";"Kopèany";"90848";;;;;;;;;;;"52,5";"45,4";;;;;;;;;;;;;;;;;;"8,94737";;;;
"677";"Trnavskı";"Skalica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Petrova Ves 90";"Petrova Ves";"90844";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12,5";;;;
"678";"Trnavskı";"Skalica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Popudinské Moèid¾any 1";"Popudinské Moèid¾any";"90861";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8,33333";;;;
"679";"Trnavskı";"Skalica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Prietrka 92";"Prietrka";"90849";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8,33333";;;;
"681";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Radošovce 338";"Radošovce";"90863";;;;;;;;;;;"59,6";"48,8";;;;;;;;;;;;;;;;;;"7,32601";;;;
"682";"Trnavskı";"Skalica";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"Gorkého 4";"Skalica";"90901";;;;;;;;;;;"77,2";"68,3";;;;;;;;;;;;;;;;;;"9,52381";;;;
"683";"Trnavskı";"Skalica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Jatoèná 4";"Skalica";"90901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"684";"Trnavskı";"Skalica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spojená škola";"Jatoèná 4";"Skalica";"90901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"685";"Trnavskı";"Skalica";"Krajskı úrad, Okresnı úrad";"ZŠ pri zdravotníckom zariadení";"Slovenskı";"Špeciálna základná škola";"ZŠ pri ZZ ako súèas SŠ";"Koreszkova 9";"Skalica";"90901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"686";"Trnavskı";"Skalica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Krá¾ovská 16";"Skalica";"90901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2,59386";;;;
"687";"Trnavskı";"Skalica";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"Str. zdravot. škola";"Lichardova 1";"Skalica";"90901";"37,2";;;;"46,8";;;"29,8";;;;;;;;;;;;;;;;;;;;;;"13,615";;;;
"688";"Trnavskı";"Skalica";"Obec";"ZŠ-roè.II. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Mallého 2";"Skalica";"90901";;;;;;;;;;;"54,9";"59,7";;;"64,4628";"80,5556";"67,2757";;;;;;;;;;;;;"7,92683";;;;
"689";"Trnavskı";"Skalica";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. SOŠ VIA HUMANA";"Mallého 2";"Skalica";"90901";"46,1";"30";;;"52,3";"66,4";;;;;;;;;;;;;;;;;;;;;;;;"13,4831";;;;
"690";"Trnavskı";"Skalica";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium F.V.Sasinka";"Námestie slobody 3";"Skalica";"90901";"62,1";"51,4";;;;"58,6";;;;;"78,2";"75,8";;;"56,701";"89,4737";"47,2336";;;;;;;;;;;;;"8,81612";;;;
"691";"Trnavskı";"Skalica";"Samosprávny kraj";"SOŠ strojnícka";"Slovenskı";"Stredná odborná škola";"SOŠ strojnícka";"Pplk. P¾juša 29";"Skalica";"90901";"45,2";;;;"53,4";;;"22,1";;;;;;;"69,8413";"66,2162";"54,4276";;;;;;;;;;;;;"10,6996";;;;
"692";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Stránická 1";"Skalica";"90901";;;;;;;;;;;"57";"57,2";;;"43,9024";"56,338";"65,4022";;;;;;;;;;;;;"7,01754";;;;
"693";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vajanského 2";"Skalica";"90901";;;;;;;;;;;"58,9";"60,8";;;;;;;;;;;;;;;;;;"5,54156";;;;
"694";"Trnavskı";"Skalica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Unín 420";"Unín";"90846";;;;;;;;;;;"66,9";"65,6";;;;;;;;;;;;;;;;;;"9,16667";;;;
"695";"Trnavskı";"Skalica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Vrádište 226";"Vrádište";"90849";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7,40741";;;;
"696";"Trnavskı";"Trnava";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Bohdanovce nad Trnavou 41";"Bohdanovce nad Trnavou";"91909";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7,69231";;;;
"697";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Boleráz 456";"Boleráz";"91908";;;;;;;;;;;"70";"65,1";;;;;;;;;;;;;;;;;;"7,05394";;;;
"698";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"J. Ninanského 1";"Brestovany";"91927";;;;;;;;;;;"60";"61,8";;;"61,36";"81,63";"59,68";;;;;;;;;;;;;"9,04977";;;;
"699";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Buèany 155";"Buèany";"91928";;;;;;;;;;;"62,2";"59,8";;;;;;;;;;;;;;;;;;"9,23077";;;;
"700";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"SNP 5";"Cífer";"91943";;;;;;;;;;;"60,9";"61";;;"70,0787";"82,4324";"74,6933";;;;;;;;;;;;;"7,19794";;;;
"701";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dechtice 514";"Dechtice";"91953";;;;;;;;;;;"74,9";"79";;;;;;;;;;;;;;;;;;"9,35252";;;;
"702";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Dobrá Voda 150";"Dobrá Voda";"91954";;;;;;;;;;;"77,2";"75";;;"81,82";"61,7";"50,28";;;;;;;;;;;;;"14,8148";;;;
"703";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 12";"Dolná Krupá";"91965";;;;;;;;;;;"60,4";"55,8";;;;;;;;;;;;;;;;;;"9,03955";;;;
"704";"Trnavskı";"Trnava";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Dolné Dubové 213";"Dolné Dubové";"91952";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"13,6364";;;;
"705";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Dolné Orešany 209";"Dolné Orešany";"91902";;;;;;;;;;;"58,1";"69,3";;;"63,2075";"66";"42,5193";;;;;;;;;;;;;"9,16667";;;;
"707";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Horné Orešany 31";"Horné Orešany";"91903";;;;;;;;;;;"53,7";"67,4";;;;;;;;;;;;;;;;;;"8,96552";;;;
"708";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Kostolná 28";"Hrnèiarovce nad Parnou";"91935";;;;;;;;;;;"75,5";"71,9";;;;;;;;;;;;;;;;;;"9,28962";;;;
"709";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Jaslovské Bohunice 341";"Jaslovské Bohunice";"91930";;;;;;;;;;;"59,7";"73,9";;;"62,8099";"78,0822";"73,9062";;;;;;;;;;;;;"6,64207";;;;
"710";"Trnavskı";"Trnava";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jaslovské Bohunice 341";"Jaslovské Bohunice";"91930";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4,4335";;;;
"711";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Kátlovce 195";"Kátlovce";"91955";;;;;;;;;;;"73,3";"75,9";;;;;;;;;;;;;;;;;;"10,8108";;;;
"712";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hlavná 250";"Kriovany nad Dudváhom";"91924";;;;;;;;;;;"68,4";"68,7";;;"65,9091";"89,7959";"60,6478";;;;;;;;;;;;;"10,9091";;;;
"713";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Majcichov 536";"Majcichov";"91922";;;;;;;;;;;"56";"62";;;;;;;;;;;;;;;;;;"7,72727";;;;
"714";"Trnavskı";"Trnava";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Malenice 203";"Malenice";"91929";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12,1212";;;;
"717";"Trnavskı";"Trnava";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Ruindol 3";"Ruindol";"91961";;;;;;;;;;;"63,9";"53,7";;;"73,8636";"73,4694";"60,9761";;;;;;;;;;;;;"7,75194";;;;
