"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"3446";"Prešovskı";"Vranov nad Top¾ou";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"SOŠ drevárska";"Lúèna 1055";"Vranov nad Top¾ou";"09301";"36";;;;"36";;;;;;;;;;;;;;;;;;;;;;;;;"288";;;;
"3447";"Prešovskı";"Vranov nad Top¾ou";"Krajskı úrad, Okresnı úrad";"Praktická škola internátna";"Slovenskı";"Špeciálna stredná škola";"Spojená škola int.- PŠI";"M. R. Štefánika 140";"Vranov nad Top¾ou";"09341";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22";;;;
"3448";"Prešovskı";"Vranov nad Top¾ou";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Spojená škola int.-ŠZŠi";"M. R. Štefánika 140";"Vranov nad Top¾ou";"09341";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3449";"Prešovskı";"Vranov nad Top¾ou";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"M. R. Štefánika 200";"Vranov nad Top¾ou";"09301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"203";;;;
"3450";"Prešovskı";"Vranov nad Top¾ou";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"M. R. Štefánika 200";"Vranov nad Top¾ou";"09301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"66";;;;
"3451";"Prešovskı";"Vranov nad Top¾ou";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"CZŠ s MŠ sv. D. Sávia";"Nám. J. Pavla II. 26";"Vranov nad Top¾ou";"09302";;;;;;;;;;;"9";"9";;;;;;;;;;;;;;;;;;;;;;
"3452";"Prešovskı";"Vranov nad Top¾ou";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sídlisko II. 1336";"Vranov nad Top¾ou";"09301";;;;;;;;;;;"72";"72";;;;;;;;;;;;;;;;;;"752";;;;
"3453";"Prešovskı";"Vranov nad Top¾ou";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sídlisko juh 1054";"Vranov nad Top¾ou";"09301";;;;;;;;;;;"65";"65";;;;;;;;;;;;;;;;;;"619";;;;
"3455";"Prešovskı";"Vranov nad Top¾ou";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sídlisko Lúèna 1";"Vranov nad Top¾ou";"09301";;;;;;;;;;;"67";"67";;;;;;;;;;;;;;;;;;"639";;;;
"3456";"Prešovskı";"Vranov nad Top¾ou";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gym. sv. Fr. z Assisi";"Školská 650";"Vranov nad Top¾ou";"09302";"36";"7";;;;"35";;;;;"22";"22";;;;;;;;;;;;;;;;;;"214";;;;
"3457";"Prešovskı";"Vranov nad Top¾ou";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vyšnı ipov 220";"Vyšnı ipov";"09433";;;;;;;;;;;"15";"15";;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"184";;;;
"3458";"Prešovskı";"Vranov nad Top¾ou";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Zámutov 531";"Zámutov";"09415";;;;;;;;;;;"35";"35";;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"411";;;;
"3459";"Prešovskı";"Vranov nad Top¾ou";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"alobín 36";"alobín";"09403";;;;;;;;;;;;;;;"2017/18";"2017/18";"2017/18";;;;;;;;;;;;;"45";;;;
"3460";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 121";"Gelnica";"05601";;;;;;;;;;;"36";"36";;;;;;;;;;;;;;;;;;"532";;;;
"3461";"Košickı";"Gelnica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Spoj.škola int. - ŠZŠ";"Kováèska 12";"Gelnica";"05601";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3462";"Košickı";"Gelnica";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Lutherovo nám. 1";"Gelnica";"05601";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"238";;;;
"3463";"Košickı";"Gelnica";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"SNP 1";"Gelnica";"05601";"31";"14";;;;"32";;;;;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"129";;;;
"3464";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Helcmanovce 41";"Helcmanovce";"05563";;;;;;;;;;;"8";"8";;;"2013/14";"2013/14";"2013/14";;;;;;;;;;;;;"117";;;;
"3465";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 297";"Jaklovce";"05561";;;;;;;;;;;"12";"12";;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"137";;;;
"3466";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kluknava 43";"Kluknava";"05351";;;;;;;;;;;"18";"18";;;"2016/17";"2016/17";"2016/17";;;;;;;;;;;;;"642";;;;
"3467";"Košickı";"Gelnica";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkr. zákl.umel.škola";"Obchodná 7";"Margecany";"05501";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"224";;;;
"3468";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 20";"Margecany";"05501";;;;;;;;;;;"16";"15";;;;;;;;;;;;;;;;;;"176";;;;
"3470";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mníšek nad Hnilcom 497";"Mníšek nad Hnilcom";"05564";;;;;;;;;;;"16";"16";;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"230";;;;
"3472";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 684";"Nálepkovo";"05333";;;;;;;;;;;"31";"31";;;;;;;;;;;;;;;;;;"683";;;;
"3473";"Košickı";"Gelnica";"Krajskı úrad, Okresnı úrad";"Praktická škola internátna";"Slovenskı";"Špeciálna stredná škola";"Spoj.škola int.- PŠi";"Breziny 256";"Prakovce";"05562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12";;;;
"3474";"Košickı";"Gelnica";"Krajskı úrad, Okresnı úrad";"Odborné uèilište internátne";"Slovenskı";"Špeciálna stredná škola";"Spoj.škola int. - OUi";"Breziny 256";"Prakovce";"05562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3475";"Košickı";"Gelnica";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkr. zákl.umelec.škola";"Breziny 289";"Prakovce";"05562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"247";;;;
"3476";"Košickı";"Gelnica";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Prakovce 282";"Prakovce";"05562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"263";;;;
"3478";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Prakovce 307";"Prakovce";"05562";;;;;;;;;;;"25";"24";;;;;;;;;;;;;;;;;;"280";;;;
"3479";"Košickı";"Gelnica";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Richnava 189";"Richnava";"05351";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3480";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Smolník 528";"Smolník";"05566";;;;;;;;;;;"8";"8";;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"102";;;;
"3482";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 122";"Švedlár";"05334";;;;;;;;;;;"20";"20";;;;;;;;;;;;;;;;;;"264";;;;
"3483";"Košickı";"Gelnica";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Ve¾kı Folkmar 328";"Ve¾kı Folkmar";"05551";;;;;;;;;;;"10";"10";;;;;;;;;;;;;;;;;;"101";;;;
"3485";"Košickı";"Gelnica";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Závadka 195";"Závadka";"05333";;;;;;;;;;;;;;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"49";;;;
"3486";"Košickı";"Košice I";"Krajskı úrad, Okresnı úrad";"ZŠ pri špec.vıchovn.zariadení";"Slovenskı";"Špeciálna základná škola";"Základná škola pri RC";"Bankov è. 15";"Košice - Sever";"04031";;;;;;;;;;;"4";"4";;;;;;;;;;;;;;;;;;;;;;
