Okres Martin;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);130,94
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);96338
Okres Námestovo;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);90,76
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);62663,5
Okres Ruomberok;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);87,67
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);56702
Okres Turèianske Teplice;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);40,43
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);15884
Okres Ve¾kı Krtíš;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);51,26
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);43473
Okres Zvolen;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);90,59
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);68758,5
Okres arnovica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);61,52
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);26152,5
Okres iar nad Hronom;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);90,53
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);46861,5
Okres Banská Bystrica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);136,92
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);110828,5
Okres Banská Štiavnica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);55,03
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);16086
Okres Brezno;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);48,57
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);61449,5
Okres Detva;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);71,35
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);32051
Okres Krupina;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);37,92
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);22182
Okres Luèenec;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);88,99
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);73466
Okres Poltár;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);45,08
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);21471
Okres Revúca;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);54,29
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);39636,5
Okres Rimavská Sobota;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);57,21
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);84159
Okres Stará ¼ubovòa;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);76,22
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);53953,5
Okres Stropkov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);52,79
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);20532
Okres Svidník;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);59,25
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);32564
Okres Vranov nad Top¾ou;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);105
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);80766,5
Okres Bardejov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);83,09
